"filename", "language", "Python", "Markdown", "YAML", "Docker", "Properties", "Shell Script", "comment", "blank", "total"
"/Users/zhuyaguang/PycharmProjects/pythonProject/README.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 25, 47
"/Users/zhuyaguang/PycharmProjects/pythonProject/argo/flip-coin.yaml", "YAML", 0, 0, 35, 0, 0, 0, 0, 3, 38
"/Users/zhuyaguang/PycharmProjects/pythonProject/argo/hello_word.yaml", "YAML", 0, 0, 16, 0, 0, 0, 0, 0, 16
"/Users/zhuyaguang/PycharmProjects/pythonProject/argo/loop-trian.yaml", "YAML", 0, 0, 27, 0, 0, 0, 0, 0, 27
"/Users/zhuyaguang/PycharmProjects/pythonProject/argo/loop.yaml", "YAML", 0, 0, 28, 0, 0, 0, 0, 0, 28
"/Users/zhuyaguang/PycharmProjects/pythonProject/argo/parameters.yaml", "YAML", 0, 0, 19, 0, 0, 0, 4, 2, 25
"/Users/zhuyaguang/PycharmProjects/pythonProject/argo/train.yaml", "YAML", 0, 0, 20, 0, 0, 0, 0, 0, 20
"/Users/zhuyaguang/PycharmProjects/pythonProject/cube-example/fenci/miniio-example/Dockerfile", "Docker", 0, 0, 0, 4, 0, 0, 1, 6, 11
"/Users/zhuyaguang/PycharmProjects/pythonProject/cube-example/fenci/miniio-example/download-data.py", "Python", 33, 0, 0, 0, 0, 0, 4, 16, 53
"/Users/zhuyaguang/PycharmProjects/pythonProject/cube-example/fenci/service/Dockerfile", "Docker", 0, 0, 0, 5, 0, 0, 1, 3, 9
"/Users/zhuyaguang/PycharmProjects/pythonProject/cube-example/fenci/service/svc.py", "Python", 46, 0, 0, 0, 0, 0, 10, 15, 71
"/Users/zhuyaguang/PycharmProjects/pythonProject/cube-example/fine_tune/Dockerfile", "Docker", 0, 0, 0, 7, 0, 0, 2, 8, 17
"/Users/zhuyaguang/PycharmProjects/pythonProject/cube-example/fine_tune/fine_tune.py", "Python", 122, 0, 0, 0, 0, 0, 40, 19, 181
"/Users/zhuyaguang/PycharmProjects/pythonProject/cube-example/mnist/mnist.py", "Python", 189, 0, 0, 0, 0, 0, 9, 36, 234
"/Users/zhuyaguang/PycharmProjects/pythonProject/diskann/bert_model.py", "Python", 83, 0, 0, 0, 0, 0, 3, 22, 108
"/Users/zhuyaguang/PycharmProjects/pythonProject/flab-on-k8s/front-k8s/Dockerfile", "Docker", 0, 0, 0, 6, 0, 0, 0, 1, 7
